latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.22331,81.0881,344.43,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.89,11.16,D
8.23053,81.10403,331.8,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.8,5.66,D
8.18756,80.75049,330.01,0.49,0.48,2026-09-12,0744,N,low,2.0NRT,301.29,3.27,D
8.19201,80.7497,330.79,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.79,3.27,D
8.11358,80.10298,344.08,0.54,0.51,2026-09-12,0744,N,nominal,2.0NRT,300.1,8.01,D
8.22337,80.55514,332.7,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,297.24,3.5,D
8.13032,80.07694,338.94,0.54,0.51,2026-09-12,0744,N,nominal,2.0NRT,297.61,3.86,D
8.22382,80.55173,334.64,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,297.71,6.36,D
8.16267,80.15137,332.25,0.53,0.5,2026-09-12,0744,N,nominal,2.0NRT,298.59,3.69,D
8.18844,80.27067,339.59,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,298.15,5.4,D
8.22505,80.45264,336.41,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,298.74,7.72,D
8.28667,80.77976,334.09,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.88,4.71,D
8.33177,81.01419,330.4,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,294.94,9.29,D
8.30045,80.72736,341.34,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.23,7.08,D
8.25494,80.3275,336.75,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,300.84,5.9,D
8.25925,80.29769,335.71,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,296.79,2.43,D
8.35896,80.80308,342.55,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,300.46,11.15,D
8.34342,80.71103,341.93,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.67,9.23,D
8.25863,80.15495,332.3,0.53,0.5,2026-09-12,0744,N,nominal,2.0NRT,301.39,7.3,D
8.2887,80.24864,338.9,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,295.58,5.83,D
8.25686,80.15214,335.07,0.53,0.5,2026-09-12,0744,N,nominal,2.0NRT,300.91,4.03,D
8.2885,80.25041,338.02,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,297.54,5.12,D
8.30267,80.27724,334.43,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,297.12,4.2,D
8.39278,80.76662,332.4,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.94,3.19,D
8.3849,80.66853,330.29,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.84,5.11,D
8.4037,80.7243,332.6,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,296.75,4.68,D
8.41152,80.47382,332.11,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,295.01,4.59,D
8.49279,80.84737,335.17,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.63,5.55,D
8.49359,80.82508,330.11,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,296.54,4.75,D
8.49156,80.84512,334.16,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.29,4.34,D
8.4922,80.82288,336.57,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.33,4.39,D
8.52454,80.85271,343.01,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.49,5.59,D
8.52888,80.82547,333.01,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,296.11,4.02,D
8.46603,80.46207,331.31,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,295.47,3.62,D
8.53329,80.82473,343.18,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.43,7.26,D
8.47054,80.46129,340.68,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,293.23,4.8,D
8.48214,80.5015,332.6,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,291.27,6.97,D
8.51672,80.67548,330.24,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.12,3.3,D
8.52794,80.71426,340.02,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.8,6.42,D
8.52719,80.7099,334.41,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.51,6.42,D
8.52116,80.67471,333.37,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.09,3.3,D
8.52409,80.66512,337.24,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.79,7.96,D
8.51454,80.52853,342.04,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,289.26,4.56,D
8.47682,80.30786,342.74,0.51,0.5,2026-09-12,0744,N,nominal,2.0NRT,299.2,12.13,D
8.57211,80.84022,335.01,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.08,2.81,D
8.51221,80.37827,348.46,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,299.17,9.52,D
8.59622,80.84927,330.34,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,294.02,3.92,D
8.51335,80.37949,338.79,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,298.09,4.69,D
8.51254,80.37491,340.42,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,300.35,4.91,D
8.61029,80.85212,335.73,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,294.04,5.05,D
8.62782,80.84911,338.52,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,291.24,4.35,D
8.6155,80.67295,341.54,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,299.02,7.89,D
8.58621,80.50359,351.29,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,290.99,13.18,D
8.57469,80.38332,336.42,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,300.11,7.75,D
8.62956,80.67505,337.07,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.93,7.95,D
8.6687,80.85074,330.82,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,291.74,2.73,D
8.61842,80.50272,331.51,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,290.19,5.02,D
8.70739,80.73883,344.89,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.03,7.23,D
8.31892,77.59275,330.58,0.39,0.6,2026-09-12,0744,N,nominal,2.0NRT,298.47,2.22,D
8.80925,80.27412,341.12,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,293.98,20.52,D
8.80845,80.26943,338.62,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,294.07,12.49,D
8.89794,80.71543,349.62,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,296.88,8.87,D
8.81352,80.27133,331.59,0.51,0.49,2026-09-12,0744,N,nominal,2.0NRT,293.94,3.21,D
8.8973,80.71758,330.69,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.34,4.22,D
8.89653,80.71324,337.99,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,296.33,4.22,D
8.94233,80.81985,330.41,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,299.88,6.32,D
8.95907,80.8126,336.72,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.19,3.06,D
8.96344,80.81184,332.39,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,296.68,2.62,D
8.97946,80.82655,332.31,0.47,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.65,10.65,D
8.93057,80.21703,334.07,0.51,0.5,2026-09-12,0744,N,nominal,2.0NRT,298.67,2.8,D
8.93058,80.21378,336.78,0.51,0.5,2026-09-12,0744,N,nominal,2.0NRT,299.1,5.78,D
8.98522,80.06801,338.48,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,299.79,5.14,D
9.00462,79.86208,330.12,0.54,0.51,2026-09-12,0744,N,nominal,2.0NRT,297.81,8.01,D
9.00842,79.85635,343.25,0.54,0.51,2026-09-12,0744,N,nominal,2.0NRT,297.1,6.61,D
9.01307,79.85555,351.75,0.54,0.51,2026-09-12,0744,N,nominal,2.0NRT,296.63,20.3,D
9.20215,80.67951,335.18,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.67,6.36,D
9.21971,80.67647,339.06,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,299.88,5.76,D
9.24338,80.70864,330.14,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,298.32,5.66,D
9.40211,80.433,330.94,0.49,0.48,2026-09-12,0744,N,nominal,2.0NRT,294.93,4.21,D
9.40158,80.37805,332.67,0.49,0.49,2026-09-12,0744,N,nominal,2.0NRT,297.28,3.56,D
9.06973,77.52162,334.25,0.39,0.59,2026-09-12,0744,N,nominal,2.0NRT,300.96,1.1,D
9.192,77.81502,338.44,0.37,0.58,2026-09-12,0744,N,nominal,2.0NRT,297.68,10.03,D
9.67016,78.19058,334.88,0.34,0.56,2026-09-12,0744,N,nominal,2.0NRT,288.66,1.73,D
11.93996,77.03573,335.16,0.37,0.58,2026-09-12,0744,N,nominal,2.0NRT,295.58,2.4,D
17.21943,99.7585,328.81,0.79,0.78,2026-09-12,0744,N,nominal,2.0NRT,286.93,4.24,D
17.21996,99.76365,327.01,0.79,0.78,2026-09-12,0744,N,nominal,2.0NRT,286.81,8.18,D
23.67653,86.39957,332.16,0.44,0.38,2026-09-12,0746,N,nominal,2.0NRT,295.51,9.04,D
23.68299,86.39413,331.66,0.44,0.38,2026-09-12,0746,N,nominal,2.0NRT,294.31,4.02,D
23.68652,86.39357,337.38,0.44,0.38,2026-09-12,0746,N,nominal,2.0NRT,295.05,4.02,D
23.7564,85.85259,332.56,0.42,0.38,2026-09-12,0746,N,nominal,2.0NRT,298.52,5.14,D
23.78724,85.55238,330.14,0.41,0.37,2026-09-12,0746,N,nominal,2.0NRT,294.64,2.32,D
24.19804,82.71844,332.43,0.39,0.36,2026-09-12,0748,N,nominal,2.0NRT,295.83,3.01,D
27.92105,96.75591,336.99,0.65,0.73,2026-09-12,0748,N,nominal,2.0NRT,288.75,5.14,D
27.92283,96.76014,328.13,0.65,0.73,2026-09-12,0748,N,nominal,2.0NRT,289.16,6.8,D
24.83727,68.07303,345.63,0.74,0.76,2026-09-12,0748,N,nominal,2.0NRT,296.85,13.07,D
24.83595,68.07963,338.93,0.74,0.76,2026-09-12,0748,N,nominal,2.0NRT,295.92,9.15,D
24.83399,68.07236,343.01,0.74,0.76,2026-09-12,0748,N,nominal,2.0NRT,296.78,9.15,D
26.81648,67.76009,331.39,0.69,0.74,2026-09-12,0750,N,nominal,2.0NRT,299.75,3.54,D
28.05062,69.37006,332.69,0.52,0.67,2026-09-12,0750,N,nominal,2.0NRT,299.69,4.58,D
29.46977,71.59311,330.16,0.36,0.57,2026-09-12,0750,N,low,2.0NRT,300.46,1.85,D
29.9203,72.90961,335.74,0.59,0.53,2026-09-12,0750,N,nominal,2.0NRT,298.63,3.43,D
30.45917,73.82764,341.62,0.51,0.49,2026-09-12,0750,N,nominal,2.0NRT,297.77,7.42,D
30.47937,73.85507,335.12,0.51,0.49,2026-09-12,0750,N,nominal,2.0NRT,297.82,3.01,D
30.92336,74.30084,332.99,0.47,0.48,2026-09-12,0750,N,nominal,2.0NRT,296.48,1.8,D
30.97024,74.48008,340.54,0.46,0.47,2026-09-12,0750,N,nominal,2.0NRT,295.1,4.6,D
31.06606,74.47954,341.94,0.46,0.47,2026-09-12,0750,N,nominal,2.0NRT,297.48,8.61,D
31.16105,74.82891,336.12,0.43,0.46,2026-09-12,0750,N,nominal,2.0NRT,295.62,2.47,D
31.12898,74.61642,349.42,0.45,0.47,2026-09-12,0750,N,nominal,2.0NRT,297.29,6.74,D
31.38129,74.53933,342.57,0.45,0.47,2026-09-12,0750,N,nominal,2.0NRT,296.29,10.36,D
31.6174,75.06292,333.18,0.41,0.45,2026-09-12,0750,N,nominal,2.0NRT,298.2,3.5,D
31.87394,74.68877,330.02,0.43,0.46,2026-09-12,0750,N,nominal,2.0NRT,294.86,2.76,D
35.83709,62.98851,335.48,0.73,0.76,2026-09-12,0752,N,nominal,2.0NRT,299.25,3.68,D
38.04935,67.26845,332.14,0.38,0.59,2026-09-12,0752,N,low,2.0NRT,306.78,3.12,D
38.04823,67.26426,347.08,0.38,0.59,2026-09-12,0752,N,nominal,2.0NRT,308.82,3.12,D
38.05353,67.26234,335.97,0.38,0.59,2026-09-12,0752,N,low,2.0NRT,306.83,3.12,D
38.09767,65.47002,347.14,0.47,0.64,2026-09-12,0752,N,nominal,2.0NRT,304.96,4.68,D
38.10333,65.46746,335.64,0.47,0.64,2026-09-12,0752,N,nominal,2.0NRT,305.41,4.68,D
39.73264,67.27463,330.04,0.35,0.57,2026-09-12,0752,N,low,2.0NRT,300.48,2.72,D
23.34302,68.96366,337.57,0.41,0.61,2026-09-12,0928,N,nominal,2.0NRT,296.07,4.42,D
23.50945,69.26907,336.81,0.44,0.62,2026-09-12,0928,N,nominal,2.0NRT,294.22,5.28,D
24.83576,68.07816,340.51,0.38,0.59,2026-09-12,0928,N,nominal,2.0NRT,304.91,3.23,D
24.83543,68.07434,334.32,0.38,0.59,2026-09-12,0928,N,low,2.0NRT,305.35,3.23,D
25.05382,67.49704,330.68,0.35,0.57,2026-09-12,0928,N,low,2.0NRT,304.18,0.7,D
25.78301,68.57213,330.23,0.42,0.61,2026-09-12,0928,N,low,2.0NRT,304.31,1.74,D
24.50595,56.6102,335.14,0.4,0.37,2026-09-12,0928,N,low,2.0NRT,307.29,6.87,D
24.50532,56.60631,338.73,0.4,0.37,2026-09-12,0928,N,nominal,2.0NRT,308.49,6.87,D
25.30858,56.37484,335.16,0.4,0.37,2026-09-12,0930,N,nominal,2.0NRT,303.64,4.35,D
25.59925,54.42489,330.25,0.45,0.39,2026-09-12,0930,N,low,2.0NRT,302.68,2,D
27.16559,56.98126,341.18,0.38,0.36,2026-09-12,0930,N,nominal,2.0NRT,309.36,2.88,D
27.15909,56.10378,339.39,0.39,0.36,2026-09-12,0930,N,low,2.0NRT,310.58,9.82,D
27.15846,56.09984,339.2,0.39,0.36,2026-09-12,0930,N,low,2.0NRT,310.33,8.32,D
27.42303,56.50353,339.22,0.39,0.36,2026-09-12,0930,N,low,2.0NRT,310.81,4.46,D
29.99264,55.85554,342.2,0.39,0.36,2026-09-12,0930,N,low,2.0NRT,315.33,8.86,D
35.8381,62.99083,341.91,0.5,0.49,2026-09-12,0932,N,nominal,2.0NRT,305.8,4.89,D
37.03074,62.41936,337.14,0.48,0.48,2026-09-12,0932,N,low,2.0NRT,310.3,13.3,D
37.11592,62.36422,337.26,0.48,0.48,2026-09-12,0932,N,low,2.0NRT,310.49,5.31,D
37.12037,62.36365,339.91,0.48,0.48,2026-09-12,0932,N,low,2.0NRT,310.48,5.31,D
37.50379,60.94529,334.85,0.41,0.45,2026-09-12,0932,N,low,2.0NRT,305.89,2.77,D
37.95083,65.64572,339.14,0.37,0.58,2026-09-12,0932,N,nominal,2.0NRT,306.03,3.2,D
37.81376,62.30733,343.45,0.48,0.48,2026-09-12,0932,N,nominal,2.0NRT,307.61,8.92,D
37.81855,61.76052,343.6,0.45,0.47,2026-09-12,0932,N,nominal,2.0NRT,302.65,5.72,D
38.09674,65.47091,351.82,0.36,0.57,2026-09-12,0932,N,nominal,2.0NRT,307,8.89,D
38.10233,65.47463,340.55,0.36,0.57,2026-09-12,0932,N,nominal,2.0NRT,304.68,3.52,D
38.10209,65.47043,344.5,0.36,0.57,2026-09-12,0932,N,nominal,2.0NRT,307.39,3.52,D
37.74425,59.33427,338.32,0.51,0.41,2026-09-12,0932,N,low,2.0NRT,312.09,10.9,D
37.83088,59.08633,341.04,0.5,0.41,2026-09-12,0932,N,nominal,2.0NRT,308.51,6.27,D
37.65369,55.63804,348.33,0.39,0.36,2026-09-12,0932,N,nominal,2.0NRT,309.62,8.29,D
38.8559,56.59008,337.34,0.42,0.38,2026-09-12,0932,N,low,2.0NRT,311.5,11.34,D
26.5789,101.66108,315.71,0.62,0.54,2026-09-12,1832,N,nominal,2.0NRT,287.99,4.09,N
26.57829,101.66789,316.51,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,288.13,3,N
26.5739,101.66076,303.13,0.62,0.54,2026-09-12,1832,N,nominal,2.0NRT,287.55,2.62,N
26.57335,101.66682,304.2,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,285.87,1.71,N
26.5678,101.67258,304.22,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,288.67,1.71,N
26.57874,101.66129,318.4,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,287.96,3.39,N
26.57806,101.66811,316.77,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,287.96,3.39,N
26.57374,101.66096,301.68,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,287.72,3.39,N
26.56755,101.67278,306.12,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,289.22,1.87,N
26.56262,101.67183,301.57,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,288.07,1.87,N
26.56199,101.67828,303.62,0.61,0.54,2026-09-12,1832,N,nominal,2.0NRT,289.24,1.87,N
9.12278,80.31826,295.62,0.39,0.36,2026-09-12,2019,N,nominal,2.0NRT,265.77,0.39,N
8.30755,80.67846,308.54,0.38,0.36,2026-09-12,2019,N,nominal,2.0NRT,290.61,1.8,N
7.37231,81.3868,309.75,0.39,0.36,2026-09-12,2019,N,nominal,2.0NRT,291.28,1.31,N
